,cloneID,plantID,site,transect,recorder,measurer,h_apical,l_length,l_width,stem_width,N_umbels,N_leaves,herb0,herb1,herb2,herb3,herb4,herb5,herb6,notes,herb_avg,alive,height_next,goodpods,badpods,totLA,repSuccess,repAllocation
469,NA,7314,SKY,73,ak,yy,85.4,16.4,7.7,10.1,3,11,11,0,0,0,0,0,0,NA,0,1,134.2,4,3,1389.08,1.333333333,0.046838407
470,NA,7315,SKY,73,ak,yy,127.5,20.5,8.8,14.9,5,19,18,0,1,0,0,0,0,NA,0.105263158,1,149.5,0,0,3427.6,0,0
471,NA,7325,SKY,73,ak,yy,114.5,22.5,10.4,13.1,5,17,17,0,0,0,0,0,0,NA,0,1,128.3,1,0,3978,0.2,0.008733624
472,NA,7326,SKY,73,ak,yy,125.4,22.2,9.8,15.6,5,18,18,0,0,0,0,0,0,NA,0,1,142.2,1,0,3916.08,0.2,0.007974482
473,NA,7339,SKY,73,ak,yy,91.6,18,8.5,11.5,5,14,14,0,0,0,0,0,0,NA,0,1,114.1,2,0,2142,0.4,0.021834061
474,NA,7344,SKY,73,ak,yy,82.1,18.7,8.7,10.9,3,11,10,1,0,0,0,0,0,NA,0.090909091,0,NA,NA,NA,1789.59,0,0
475,NA,7345,SKY,73,ak,yy,107.6,22.4,10,18.2,5,20,20,0,0,0,0,0,0,NA,0,1,110.2,4,6,4480,0.8,0.037174721
476,NA,7328,SKY,73,ak,yy,115.4,21.2,10.1,17.5,6,20,18,0,2,0,0,0,0,NA,0.2,1,140.5,6,2,4282.4,1,0.051993068
477,NA,7350,SKY,73,ak,yy,46.1,10,4.3,14.7,0,9,9,0,0,0,0,0,0,NA,0,0,NA,NA,NA,387,0,0
478,NA,7342,SKY,73,ak,yy,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,no plant,0,0,NA,NA,NA,NA,0,0
479,NA,7353,SKY,73,ak,yy,73,14.5,6,8.2,3,18,16,2,0,0,0,0,0,NA,0.111111111,1,79.7,2,0,1566,0.666666667,0.02739726
480,NA,4271,BLD1,42,hd,ng,8.6,NA,NA,4.5,0,0,0,0,0,0,0,0,0,budling,0,1,55.5,0,0,NA,0,0
481,NA,4272,BLD1,42,hd,ng,25.7,6.3,3.1,5.9,0,3,2,1,0,0,0,0,0,NA,0.333333333,0,NA,NA,NA,58.59,0,0
482,NA,4390,BLD1,43,hd,ng,35.8,9.2,3.4,5.8,0,5,3,2,0,0,0,0,0,NA,0.4,1,46.6,0,0,156.4,0,0
483,NA,4561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,0
484,NA,newplant1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,34.6,0,0,NA,0,0
485,NA,newplant2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28.4,0,0,NA,0,0
486,NA,4069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0
487,NA,newplant3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15.3,0,0,NA,0,0
488,NA,newplant4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20.6,NA,NA,NA,0,0
489,NA,4059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0
490,NA,newplant5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,51.6,0,0,NA,0,0
491,NA,4361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0
492,NA,7233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,102.8,2,0,NA,0,0
493,NA,8386b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121.6,2,0,NA,0,0
494,NA,8386a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0
495,NA,newplant1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,57.4,0,0,NA,0,0
496,NA,8406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,82.3,0,0,NA,0,0
