number,Spectra,Site,N,C,LMA,ADF,ADL,Cellulose,NDWI,Chl_g_m2,PRI,Cardenolides
415,420_YTB_60_1215_150615_16.66666667,YTB,2.86,44.3,18.61,23.02,24.54,19.62,0.0553,0.2553,0.0096,1.24
416,421_YTB_60_1216_150615_52,YTB,2.05,44.41,47.89,23.19,23.73,19.06,0.0513,0.163,0.003,2.53
417,422_YTB_60_1217_150615_55.66666667,YTB,2.27,45.14,40.48,26.14,23.31,19.34,0.0604,0.2904,0.0009,0.62
418,423_YTB_60_1218_150615_59,YTB,2.29,45.92,49.37,29.7,24.55,20.97,0.0629,0.2789,0.0122,NA
419,424_YTB_60_1219_150615_38,YTB,1.87,45.21,64.83,24.89,24.41,20.76,0.0672,0.2033,-0.0111,1.47
420,425_YTB_60_1235_150615_82,YTB,2.36,45.24,46.01,27.62,24.02,20.03,0.0603,0.2704,-0.0206,0.54
421,426_YTB_60_1911_150615_49,YTB,2.32,45.64,56.9,29.38,26.72,20.82,0.0593,0.2837,-0.0437,NA
422,427_YTB_60_1912_150615_29,YTB,2.13,44.53,49.16,22.4,22.9,20.08,0.0681,0.1886,-0.0066,1.57
423,428_YTB_60_1913_150615_62,YTB,2.07,45.45,55.9,29.68,28.01,20.74,0.0569,0.246,-0.0023,1.08
424,429_YTB_60_1917_150615_77,YTB,2.35,44.74,38.23,24.42,25.97,19.13,0.0436,0.214,-0.0372,2.91
425,430_YTB_60_3028_150615_71,YTB,2.08,45.49,36.04,30.47,25.77,21.16,0.0588,0.2558,-0.0179,0.93
426,431_YTB_60_702_150615_26,YTB,2.48,45.21,43.57,26.28,22.38,20.93,0.065,0.2636,0.0217,0.27
