number,Spectra,Site,N,C,LMA,ADF,ADL,Cellulose,NDWI,Chl_g_m2,PRI,Cardenolides
83,85_BLDY_NA_1771_150619_214.5,BLD,2.6,45.14,49.25,29.3,27.2,19.38,0.0397,0.2799,-0.0088,1.67
84,86_BLDY_NA_1772_150619_217,BLD,2.63,44.82,49.47,28.52,27.59,18.26,0.0411,0.2722,-0.0073,1.46
85,87_BLDY_NA_1774_150619_221,BLD,2.44,44.74,31.12,26.03,23.43,19.02,0.04,0.2309,-0.018,2.19
86,88_BLDY_NA_1777_150619_182,BLD,2.36,45.31,53.28,26.15,24.27,18.17,0.0415,0.2778,0.0166,1.07
87,89_BLDY_NA_1962_150619_152,BLD,1.88,45.06,84.11,24.13,22.13,16.6,0.0533,0.1701,0,2.09
88,90_BLDY_NA_1965_150619_227,BLD,2.44,44.63,32.42,26.38,23.13,17.82,0.0412,0.2136,-0.0035,2.07
89,91_BLDY_NA_4605_150619_208,BLD,2.71,45.23,50.6,29.22,26.83,18.9,0.0417,0.2944,0.0063,1.6
90,92_BLDY_NA_471_150619_230,BLD,1.98,46.17,102.54,30.41,27.6,21.1,0.0603,0.2261,-0.0155,2.2
91,93_BLDY_NA_481_150619_155,BLD,2.43,44.8,55.89,27.36,25.06,17.81,0.0441,0.2367,-0.0033,1.44
92,94_BLDY_NA_485_150619_184.5,BLD,2.44,45.1,70.58,27.93,28.06,18.51,0.0501,0.2519,0.0067,1.76
93,95_BLDY_NA_487_150619_187,BLD,2.08,45.21,60.09,23.43,20.86,17.32,0.0447,0.1879,-0.0137,1.4
94,96_BLDY_NA_489_150619_196,BLD,2.52,45.66,89.54,30.42,28.46,19.8,0.0511,0.2673,-0.0175,1.98
95,97_BLDY_NA_492_150619_199,BLD,2.81,44.92,56.34,28.66,26.71,18.17,0.0456,0.289,-0.0063,1.36
96,98_BLDY_NA_494_150619_202,BLD,2.08,44.96,39.49,25.3,22.25,17.48,0.0421,0.18,-0.0281,1.91
97,99_BRM_NA_26_150617_28,BRM,3.42,42.03,NA,13.8,22.12,15.46,0.0426,0.2931,0.0539,1.5
98,100_BRM_NA_27_150617_33,BRM,3.14,41.89,NA,15.36,24.72,15.79,0.0515,0.2645,0.0529,1.54
99,101_BRM_NA_28_150617_37,BRM,3.64,41.65,8.32,15.92,23.67,14.68,0.0381,0.4009,0.0573,1.28
100,102_BRM_NA_29_150617_41,BRM,3.73,41.41,NA,12.33,21.8,14.44,0.0377,0.3115,0.0579,1.41
101,103_BRM_NA_30_150617_45.5,BRM,3.04,42.07,NA,10.33,18.25,15.2,0.036,0.2769,0.0476,1.98
102,104_BROOKE_NA_11_150616_24,Brooke,2.79,42.39,10.76,16.36,20.22,15.47,0.0438,0.2675,-0.0061,2.74
103,105_BROOKE_NA_12_150616_28,Brooke,2.49,42.25,NA,13.88,17.97,15.91,0.0492,0.1762,0.0192,3.53
104,106_BROOKE_NA_13_150616_32,Brooke,2.12,43.59,12.31,16.04,17.87,17.13,0.0451,0.1203,-0.0198,2.94
105,107_BROOKE_NA_14_150616_35,Brooke,3.13,42.3,5.68,15.15,20.23,16.23,0.0417,0.2933,0.0248,3.74
106,108_BROOKE_NA_15_150616_38,Brooke,3.35,42.97,22,19.35,23.3,16.71,0.0426,0.3422,0.0346,2.67
107,109_BROOKE_NA_16_150616_42,Brooke,2.53,42.34,9.68,13.33,14.05,13.1,0.0455,0.2242,0.0204,1.61
108,110_BROOKE_NA_17_150616_46,Brooke,1.86,43.05,20.55,16.19,16.07,14.57,0.0493,0.1932,0.0172,1.54
109,112_BROOKE_NA_19_150616_56,Brooke,2.1,43.48,7.2,16.47,16.46,15.65,0.05,0.2097,0.0257,1.67
110,113_BROOKE_NA_20_150616_60,Brooke,2.24,42.37,NA,14.31,18.27,14.21,0.047,0.2281,0.0306,2.38
111,114_CHIPPOKES_NA_200_150623_90,Chippoakes,3.1,45.7,46.27,27.9,27.09,19.47,0.0358,0.3529,0.0238,1.55
112,115_CHIPPOKES_NA_201_150623_94,Chippoakes,2.89,45.5,39.19,22.71,19.89,17.46,0.044,0.2758,-0.0099,2.13
113,116_CHIPPOKES_NA_202_150623_100,Chippoakes,2.82,45.54,51.21,24.9,26.26,18.45,0.0488,0.2751,0.0199,2.13
114,117_CHIPPOKES_NA_203_150623_104,Chippoakes,2.92,45.2,44.36,26.05,25.23,17.97,0.0324,0.2943,0.0148,2.65
115,118_CHIPPOKES_NA_204_150623_108,Chippoakes,3.81,44.35,32.21,26.9,27.98,18.74,0.0361,0.383,0.0398,1.96
116,119_CMP_NA_21_150617_5,CMP,1.77,43.45,27.98,16.81,17.97,16.24,0.0493,0.211,0.0144,0.99
117,120_CMP_NA_22_150617_10,CMP,2.56,44.25,54.99,29.22,28.03,19.75,0.0643,0.3755,0.0439,0.23
118,121_CMP_NA_23_150617_15,CMP,2.46,44.03,19.81,23.79,24.37,19.77,0.0583,0.285,0.0347,0.73
119,122_CMP_NA_24_150617_19,CMP,2.93,44.02,16.04,22.7,22.47,19.58,0.057,0.3295,0.0468,0.5
120,123_CMP_NA_25_150617_24,CMP,2.92,43.15,41.12,17.06,22.21,17.22,0.0603,0.2963,0.0291,1.01
121,124_DANVILLE_1_180_150623_2,Dan1,3.57,44.22,18.31,28.85,30.3,17.95,0.041,0.3267,0.0395,0.64
122,125_DANVILLE_1_181_150623_7,Dan1,3.09,44.39,34.65,33.93,32.48,18.65,0.051,0.3182,0.0449,1.19
123,126_DANVILLE_1_182_150623_11,Dan1,3.07,44.83,42.76,29.82,28.2,18.14,0.0454,0.3024,0.0299,NA
124,127_DANVILLE_1_183_150623_16,Dan1,2.72,45.36,60.38,31.12,27.72,16.81,0.0476,0.3516,0.0137,0.92
125,128_DANVILLE_1_184_150623_21,Dan1,2.63,45.3,58.12,27.96,28.03,16.83,0.045,0.3236,0.0285,0.65
126,130_DANVILLE_2_186_150623_29,Dan2,3.5,45.02,79.06,30.44,33.23,20.78,0.051,0.271,0.0198,1.44
127,131_DANVILLE_2_187_150623_32,Dan2,3.47,45.02,76.17,32.89,33.95,20.92,0.0597,0.2595,0.0192,1.61
128,132_DANVILLE_2_188_150623_35,Dan2,3.94,45.58,57.16,35.16,32.78,20.89,0.0401,0.3581,0.0209,1.16
129,133_DANVILLE_2_189_150623_38,Dan2,4.04,45.81,51.24,34.6,34.42,21,0.0362,0.3805,0.0333,0.66
130,134_FARMVILLE_1_190_150623_42,Farm1,1.71,45.06,56.04,29.61,24.23,19.97,0.0567,0.1393,-0.0259,1.48
131,135_FARMVILLE_1_191_150623_46,Farm1,3.09,44.8,45.46,33.62,31.16,20.74,0.0516,0.3237,0.0233,1.24
132,136_FARMVILLE_1_192_150623_51,Farm1,2.94,45.43,27.57,29.37,27.69,21.63,0.0488,0.27,-0.0009,0.8
133,137_FARMVILLE_1_193_150623_55,Farm1,2.13,43.93,60,20.87,20.66,17.82,0.051,0.1846,-0.0447,2.66
134,138_FARMVILLE_1_194_150623_59,Farm1,2.56,45.53,55.11,30.41,25.08,21.24,0.0538,0.2372,-0.0108,0.7
135,139_FARMVILLE_2_195_150623_67,Farm2,2.56,44.59,57.49,23.05,23.92,16.65,0.0356,0.1948,0.0048,1.88
136,140_FARMVILLE_2_196_150623_72,Farm2,2.49,45.34,44.98,26.36,23.07,18.13,0.0384,0.2021,0.0081,1.13
137,141_FARMVILLE_2_197_150623_76,Farm2,2.79,45.57,107.69,29.74,27.39,19.53,0.0723,0.2542,0.0112,2.46
138,142_FARMVILLE_2_198_150623_81,Farm2,3.22,45.21,48.56,26.86,24.54,17.27,0.0412,0.3286,0.0091,1.82
139,143_FARMVILLE_2_199_150623_86,Farm2,2.58,45.67,91.24,27.27,27.5,19.97,0.0563,0.2452,0.006,2.15
140,144_LAKE ART_NA_36_150618_2,ART,3.56,45.37,39.11,28.63,29.1,18.55,0.0333,0.3434,0.0079,1.59
141,145_LAKE ART_NA_37_150618_6,ART,3.89,44.33,22.23,26.92,31.22,17.8,0.0261,0.3307,0.0197,2.72
142,146_LAKE ART_NA_38_150618_11,ART,3.05,44.53,27.79,26.11,26.67,17.74,0.0375,0.3091,0.0273,0.76
143,147_LAKE ART_NA_39_150618_18,ART,3.14,45.55,59.55,27.48,27.65,18.53,0.0332,0.3112,-0.0086,0.83
144,148_LAKE ART_NA_40_150618_22,ART,3.07,45.01,37.54,27.3,27.62,18.02,0.0331,0.2283,-0.0508,2.09
145,149_LAKE ART_NA_41_150618_26,ART,2.83,45.6,43.29,27.23,28.87,18.25,0.0316,0.2787,0.0175,1.3
146,150_LAKE ART_NA_42_150618_30,ART,3.19,46.36,69.32,32.32,32.41,21.55,0.0398,0.3587,0.0202,1.13
