"","sensitivity","pars","type","name","lambda","elasticity"
"184",0.524928282544091,1.30501587703942,"Pods","(Intercept)",1.7757920199611,0.385765751465692
"185",0.308796931380019,0.0210904011567283,"Pods","h_apical",1.7757920199611,0.00366746279156832
"186",-0.117191571090338,-2.18193683712514,"Pods","herb_avg",1.7757920199611,0.143994681296169
"187",-0.373639332005398,-1.0071343681976,"Pods","Cardenolides",1.7757920199611,0.211908268729167
"188",-0.272806013437829,-0.0307324334095643,"Pods","LMA",1.7757920199611,0.00472126946594255
"189",0.000234070569472953,23.6897435897436,"Seedlings","mean",1.7757920199611,0.00312259077098509
"190",0.000306004508316497,8.32830499182264,"Seedlings","sd",1.7757920199611,0.001435133644867
"191",1001.39810493193,0.000524195402398466,"Seedlings","seedling.emergence",1.7757920199611,0.295602343447489
"192",0.00260853922591442,201.234567901235,"Seedlings","seeds.per.pod",1.7757920199611,0.2956023329758
"193",0.856124620017756,0.528587901066275,"Clonal","a",1.7757920199611,0.254836777538993
"194",1.69770975908176,-0.346006568788753,"Clonal","b",1.7757920199611,-0.330792526340966
"195",0.0182761818571036,0.528587901066275,"Budlings","mean",1.7757920199611,0.00544014642410858
"196",0.0100464949200302,-0.346006568788753,"Budlings","sd",1.7757920199611,-0.00195752272594931
"197",-0.344862915579132,0.775842696629213,"Herbivory","pmunch",1.7757920199611,-0.150670445290202
"198",-0.494715292254658,0.564412333499784,"Herbivory","mean",1.7757920199611,-0.157238803520243
"199",0.130741579197081,0.787957718192449,"Herbivory","sd",1.7757920199611,0.0580128952371721
"200",-0.433072265638257,1.52853448275862,"Cardenolides","mean",1.7757920199611,-0.372772196357193
"201",0.183340792476267,0.866451596744212,"Cardenolides","sd",1.7757920199611,0.08945637811397
"202",-0.00569689808474518,53.7515254237288,"LMA","mean",1.7757920199611,-0.172439654417008
"203",-0.00253219050384445,20.7752724441994,"LMA","sd",1.7757920199611,-0.0296244982557897
"204",0.0479793030714545,-7.0245146446704,"Flowering","(Intercept)",1.45967697172896,-0.230894453768976
"205",3.44104788634217,0.113664571120074,"Flowering","h_apical",1.45967697172896,0.267953279924281
"206",0.0128142169725422,0.35424620287,"Flowering","herb_avg",1.45967697172896,0.00310985772413641
"207",0.0573533146742326,-0.5783510850626,"Flowering","Cardenolides",1.45967697172896,-0.0227244468579164
"208",0.145371021531887,0.898672217347034,"Survival","(Intercept)",1.45967697172896,0.0894998693466557
"209",0.130169153670229,-0.00349985576679766,"Survival","h_apical",1.45967697172896,-0.000312105535646222
"210",-0.0171315812263364,0.469280182225974,"Survival","herb_avg",1.45967697172896,-0.00550773336527433
"211",-0.0445800264034042,-0.721700194881622,"Survival","Cardenolides",1.45967697172896,0.0220414614783268
"212",-0.112055216341309,0.0213111922872354,"Survival","LMA",1.45967697172896,-0.00163599913438986
"213",0.464601688800969,-1.24595946802634,"Pods","(Intercept)",1.45967697172896,-0.396577382690998
"214",0.451526063045379,0.0343576348200457,"Pods","h_apical",1.45967697172896,0.0106279456936769
"215",-0.0669003328149032,-1.08037631890516,"Pods","herb_avg",1.45967697172896,0.0495161167162098
"216",-0.325978429098699,-0.652255030240182,"Pods","Cardenolides",1.45967697172896,0.145663098238491
"217",-0.192246059302775,-0.023738949755695,"Pods","LMA",1.45967697172896,0.00312652705421069
"218",0.000247587733699604,23.9015151515152,"Seedlings","mean",1.45967697172896,0.00405413121051087
"219",0.000329829361134511,9.87955483637405,"Seedlings","sd",1.45967697172896,0.00223238930467945
"220",796.978639303997,0.000582953752879395,"Seedlings","seedling.emergence",1.45967697172896,0.318290757301368
"221",0.00206875578231502,224.58024691358,"Seedlings","seeds.per.pod",1.45967697172896,0.318290754320726
"222",0.998445252321035,-0.253413764053751,"Clonal","a",1.45967697172896,-0.173339563816351
"223",1.67677213832889,0.00351614601646758,"Clonal","b",1.45967697172896,0.00403909617600221
"224",0.020519844133148,-0.253413764053751,"Budlings","mean",1.45967697172896,-0.00356243952620421
"225",0.0196020489178385,0.00351614601646758,"Budlings","sd",1.45967697172896,4.72184377447714e-05
"226",-0.186814346551462,0.780258519388954,"Herbivory","pmunch",1.45967697172896,-0.0998600979970277
"227",-0.24995402202068,0.636861100129284,"Herbivory","mean",1.45967697172896,-0.109055631162884
"228",0.0526295884977146,0.914768811297612,"Herbivory","sd",1.45967697172896,0.0329825756256956
"229",-0.391393304822171,1.67017094017094,"Cardenolides","mean",1.45967697172896,-0.447834511711977
"230",0.181008447115311,0.847532348580613,"Cardenolides","sd",1.45967697172896,0.105098948101413
"231",-0.00768640725658363,53.5869361702128,"LMA","mean",1.45967697172896,-0.282179566448136
"232",0.00149141621797831,21.6179562080449,"LMA","sd",1.45967697172896,0.0220880174947432
"233",0.0380048778573813,-6.8230095833153,"Flowering","(Intercept)",1.19542976761068,-0.216915834672514
"234",2.63019578506684,0.113386907038711,"Flowering","h_apical",1.19542976761068,0.24947493617384
"235",0.0094636868430439,0.663665216908988,"Flowering","herb_avg",1.19542976761068,0.00525394293468266
"236",0.0458119728132803,-0.566171971772528,"Flowering","Cardenolides",1.19542976761068,-0.021697180111489
"237",0.146456717805461,-2.90537086185663,"Survival","(Intercept)",1.19542976761068,-0.355948205376899
"238",0.0795125008635639,0.0132153996804663,"Survival","h_apical",1.19542976761068,0.000879005615365964
"239",-0.0302028685007111,0.734116890662891,"Survival","herb_avg",1.19542976761068,-0.0185476692262387
"240",-0.0930476175455238,0.110431012446247,"Survival","Cardenolides",1.19542976761068,-0.00859552178611117
"241",-0.079851271005088,0.0330929717722258,"Survival","LMA",1.19542976761068,-0.00221051535518423
